,id,title
79,80.jpg,still-life with a basket of fruit on a marble ledge
80,81.jpg,still-life
81,82.jpg,still-life with fruit
82,83.jpg,still-life with fruit and crystal vase
83,84.jpg,still-life
84,85.jpg,still-life with fruit
85,86.jpg,still-life
86,87.jpg,flower still-life
87,88.jpg,fruit still-life
88,89.jpg,"still-life with fruit, parrot, and nautilus pitcher"
89,90.jpg,still-life with peaches and plums
90,91.jpg,still-life with mouse and candle
91,92.jpg,still-life with fruit and a crystal vase
92,93.jpg,vase of flowers with pocket watch
93,94.jpg,still-life of dead birds and hunting weapons
94,95.jpg,still-life with armour
95,96.jpg,fruit
96,97.jpg,susanna and the elders
97,98.jpg,apostles peter and john
98,99.jpg,christ and the adulteress
99,100.jpg,christ and the adulteress
100,101.jpg,cook in front of the stove
101,102.jpg,the cook
102,103.jpg,the egg dance
103,104.jpg,market scene
104,105.jpg,market scene (detail)
105,106.jpg,market scene
106,107.jpg,market scene
107,108.jpg,market scene
108,109.jpg,market woman with vegetable stall
109,110.jpg,butcher's stall
110,111.jpg,peasants by the hearth
111,112.jpg,still-life
112,113.jpg,triptych with the adoration of the magi (central panel)
113,114.jpg,left wing of a triptych with the adoration of the magi
114,115.jpg,left wing of a triptych with the adoration of the magi (reverse side)
115,116.jpg,vendor of fowl
116,117.jpg,study of dogs
117,118.jpg,a gentleman with horses by a stream
118,119.jpg,portrait of a horse
119,120.jpg,the playground
120,121.jpg,two terriers by a mossy bank
121,122.jpg,mary magdalene
122,123.jpg,monument to bishop guido tarlati
123,124.jpg,monument to bishop guido tarlati (detail)
124,125.jpg,monument to bishop guido tarlati (detail)
125,126.jpg,monument to bishop guido tarlati (detail)
126,127.jpg,monument to bishop guido tarlati (detail)
127,128.jpg,st bridget of sweden receiving the rule of her order
128,129.jpg,st bridget of sweden receiving the rule of her order (detail)
129,130.jpg,st bridget of sweden receiving the rule of her order (detail)
130,131.jpg,madonna del carmine
131,132.jpg,the angel gabriel
132,133.jpg,virgin and child
133,134.jpg,madonna (detail)
134,135.jpg,the obedience
135,136.jpg,angels playing a viola
136,137.jpg,angels playing a lute and tambourine
137,138.jpg,angels playing a lute and tambourine (detail)
138,139.jpg,tempio malatestiano: interior
139,140.jpg,musician angels
140,141.jpg,an angel drawing back a curtain
141,142.jpg,the moon
142,143.jpg,the moon
143,144.jpg,saturn
144,145.jpg,philosophy
145,146.jpg,a miracle of san bernardino of siena
146,147.jpg,oratorio di san bernardino: façade
147,148.jpg,monument to bishop guido tarlati
148,149.jpg,monument to bishop guido tarlati (detail)
149,150.jpg,monument to bishop guido tarlati
150,151.jpg,monument to bishop guido tarlati
151,152.jpg,monument to bishop guido tarlati
152,153.jpg,sepulchral monument to sforzino sforza
153,154.jpg,the ninth wave
154,155.jpg,a strong wind
155,156.jpg,shipwreck
156,157.jpg,ship in the stormy sea
157,158.jpg,the van aken brothers
158,159.jpg,a sporting conversation piece
159,160.jpg,a vegetable seller and his son
160,161.jpg,vegetable and fruit market
161,162.jpg,the virgin cardiotissa
162,163.jpg,the congregation of the archangels
163,164.jpg,figure of a saint
164,165.jpg,spring (venus at her toilet)
165,166.jpg,spring (detail)
166,167.jpg,summer (venus in vulcan's forge)
167,168.jpg,autumn (venus and adonis)
168,169.jpg,winter (the triumph of diana)
169,170.jpg,ceiling vault of piano nobile loggia
170,171.jpg,ceiling painting
171,172.jpg,adonis led by cupids to venus (detail)
172,173.jpg,the annunciation
173,174.jpg,diana and actaeon
174,175.jpg,diana and actaeon
175,176.jpg,the holy family
176,177.jpg,the holy family in a landscape
177,178.jpg,holy family
178,179.jpg,venus attended by nymphs and cupids
179,180.jpg,the toilet of venus
180,181.jpg,toilet of venus
181,182.jpg,the cupids disarmed
182,183.jpg,the phaethon legend
183,184.jpg,the phaethon legend: fall of phaethon and olympian gods
184,185.jpg,the phaethon legend: neptune taming horses
185,186.jpg,"the phaethon legend: river gods eridanus, heliades, and cycnus"
186,187.jpg,the phaethon legend: venus at her toilet
187,188.jpg,the phaethon legend: lamenting mother earth
188,189.jpg,the phaethon legend: galatea on a dolphin
189,190.jpg,"the phaethon legend: river gods eridanus, heliades, and cycnus (detail)"
190,191.jpg,mercury
191,192.jpg,polyptych of the apocalypse
192,193.jpg,polyptych of the apocalypse (central panel)
193,194.jpg,the harvest of the world
194,195.jpg,triptych
195,196.jpg,st john fresco cycle
196,197.jpg,fame
197,198.jpg,part of the sistine chapel ceiling
198,199.jpg,madonna and child in glory with angels
199,200.jpg,the cardinal virtues
200,201.jpg,ceiling decoration
201,202.jpg,sant'andrea: façade
202,203.jpg,sant'andrea: façade
203,204.jpg,sant'andrea: interior
204,205.jpg,sant'andrea: interior
205,206.jpg,façade
206,207.jpg,exterior view
207,208.jpg,exterior view
208,209.jpg,courtyard
209,210.jpg,palazzo ruccelai: façade
210,211.jpg,palazzo ruccelai: façade
211,212.jpg,palazzo ruccelai: façade (detail)
212,213.jpg,palazzo ruccelai: façade (detail)
213,214.jpg,self-portrait
214,215.jpg,façade of the tempietto
215,216.jpg,apse of the tempietto
216,217.jpg,view of the tempietto
217,218.jpg,tempio malatestiano: façade
218,219.jpg,tempio malatestiana: façade
219,220.jpg,adoration of the child with angel
220,221.jpg,virgin and child
221,222.jpg,virgin and child
222,223.jpg,visitation
223,224.jpg,annunciation
224,225.jpg,birth of christ
225,226.jpg,circumcision
226,227.jpg,visitation
227,228.jpg,view of campo santi giovanni e paolo
228,229.jpg,san giuseppe di castello
229,230.jpg,portrait of maría anna josefa taking vow
230,231.jpg,red hartebeest and blackbuck
231,232.jpg,red hartebeest
232,233.jpg,red-flanked duiker
233,234.jpg,blackbuck
234,235.jpg,red hartebeest and mountain coati
235,236.jpg,mountain coati
236,237.jpg,blue-headed quail-dove
237,238.jpg,specimens of nature
238,239.jpg,grape harvest girl
239,240.jpg,portrait of an architect
240,241.jpg,satire on romantic suicide
241,242.jpg,view of the façade
242,243.jpg,façade
243,244.jpg,interior of the loggia
244,245.jpg,annunciation
245,246.jpg,crucifixion
246,247.jpg,crucifixion (detail)
247,248.jpg,madonna and child
248,249.jpg,pietà
249,250.jpg,bust of bishop ulpiano volpi
250,251.jpg,beheading of st paul
251,252.jpg,bust of monsignor antonio cerri
252,253.jpg,heracles and the hydra
253,254.jpg,bust of pope innocent x
254,255.jpg,laudivio zacchia
255,256.jpg,monument of pope leo xi
256,257.jpg,monument of pope leo xi
257,258.jpg,st mary magdalene
258,259.jpg,st john the evangelist
259,260.jpg,st john the evangelist
260,261.jpg,st mary magdalene
261,262.jpg,bust of cardinal giovanni garzia mellini
262,263.jpg,st philip neri
263,264.jpg,vision of st nicholas
264,265.jpg,bust of donna olimpia maidalchini
265,266.jpg,bust of donna olimpia maidalchini
266,267.jpg,sleep
267,268.jpg,general view
268,269.jpg,general view
269,270.jpg,the meeting of leo i and attila
270,271.jpg,the meeting of leo i and attila
271,272.jpg,the meeting of leo i and attila (detail)
272,273.jpg,the meeting of leo i and attila (detail)
273,274.jpg,the meeting of leo i and attila (detail)
274,275.jpg,the meeting of leo i and attila (detail)
275,276.jpg,scenes from the life of christ
276,277.jpg,the goodbyes of alcestis
277,278.jpg,the goodbyes of alcestis
278,279.jpg,the goodbyes of alcestis (detail)
279,280.jpg,the death of alcestis
280,281.jpg,child from abruzzo
281,282.jpg,pierre guillaume frédéric le play
282,283.jpg,venus at bath
283,284.jpg,landscape with the finding of moses
284,285.jpg,river landscape
285,286.jpg,river landscape
286,287.jpg,view of the salone
287,288.jpg,view of the salone
288,289.jpg,the banquet of syphax
289,290.jpg,titus quinctius flamininus's speech before the achaeans
290,291.jpg,lunette fresco (detail)
291,292.jpg,plan for the decoration
292,293.jpg,allegory of human life
293,294.jpg,annunciation
294,295.jpg,the body of christ with two angels
295,296.jpg,allegory of the christian church
296,297.jpg,women on a terrace
297,298.jpg,portrait of a woman
298,299.jpg,portrait of a noble woman
299,300.jpg,"portrait of bianca cappello, second wife of francesco i de' medici"
300,301.jpg,portrait of francesco i de' medici
301,302.jpg,portrait of tommaso de' bardi
302,303.jpg,portrait of a young man
303,304.jpg,the preaching of st john the baptist
304,305.jpg,st peter walking on the water
305,306.jpg,pearl fishers
306,307.jpg,susanna and the elders
307,308.jpg,fresco decoration (detail)
308,309.jpg,fresco decoration (detail)
309,310.jpg,venus and cupid
310,311.jpg,judith with the head of holofernes
311,312.jpg,judith with the head of holofernes
312,313.jpg,judith with the head of holofernes
313,314.jpg,judith with the head of holofernes
314,315.jpg,judith with the head of holofernes (detail)
315,316.jpg,uriel standing in the sun
316,317.jpg,reading from homer
317,318.jpg,tibullus at delias house
318,319.jpg,roman art lover
319,320.jpg,women of amphissa
320,321.jpg,on the steps of the capitol
321,322.jpg,tomb of martin vázquez
322,323.jpg,tomb of martin vázquez (detail)
323,324.jpg,extensive wooded landscape with cephalus and procris
324,325.jpg,the flight into egypt
325,326.jpg,skating during carnival
326,327.jpg,winter landscape
327,328.jpg,"winter landscape in the fôret de soignes, with the flight into egypt"
328,329.jpg,view of vienna from the prater
329,330.jpg,landscape with satyr family
330,331.jpg,landscape with path
331,332.jpg,danubian landscape
332,333.jpg,susanna in the bath and the stoning of the elders
333,334.jpg,the battle of alexander
334,335.jpg,the battle of alexander (detail)
335,336.jpg,the battle of alexander (detail)
336,337.jpg,lovers
337,338.jpg,loth and his daughters
338,339.jpg,diptych
339,340.jpg,saint george in the forest
340,341.jpg,rest on the flight into egypt
341,342.jpg,rest on the flight into egypt (detail)
342,343.jpg,nativity
343,344.jpg,communion of the apostles
344,345.jpg,schöne maria
345,346.jpg,christ on the cross between mary and st john
346,347.jpg,christ on the cross between mary and st john (detail)
347,348.jpg,christ on the cross
348,349.jpg,christ on the cross (detail)
349,350.jpg,christ on the cross (detail)
350,351.jpg,christ taking leave of his mother
351,352.jpg,mary with the child
352,353.jpg,the birth of the virgin
353,354.jpg,crucifixion
354,355.jpg,portrait of a woman
355,356.jpg,christ in the garden of gethsemane
356,357.jpg,the arrest of christ
357,358.jpg,the flagellation of christ
358,359.jpg,the resurrection of christ
359,360.jpg,the entombment
360,361.jpg,st florian taking leave of the monastery
361,362.jpg,the martyrdom of st florian
362,363.jpg,the beautiful virgin of regensburg
363,364.jpg,landscape
364,365.jpg,large fir
365,366.jpg,st george
366,367.jpg,cup and cover
367,368.jpg,view of the chapel
368,369.jpg,view of the chapel
369,370.jpg,view of the chapel
370,371.jpg,view of the altar wall
371,372.jpg,façade of the oratory
372,373.jpg,scenes on the entry wall
373,374.jpg,adoration of the magi
374,375.jpg,adoration of the magi (detail)
375,376.jpg,crucifixion
376,377.jpg,two scenes on the northeast wall
377,378.jpg,st george slays the dragon
378,379.jpg,st george baptizes the king and his family (detail)
379,380.jpg,the beheading of st george
380,381.jpg,two scenes on the southwest wall
381,382.jpg,the beheading of st catherine
382,383.jpg,the funeral of st lucy
383,384.jpg,the funeral of st lucy (detail)
384,385.jpg,view of the cappella di san giacomo
385,386.jpg,crucifixion
386,387.jpg,crucifixion
387,388.jpg,crucifixion (detail)
388,389.jpg,scenes from the life of st james
389,390.jpg,king ramiro summons the crown council
390,391.jpg,virgin being worshipped by members of the cavalli family
391,392.jpg,"alchitrof, emperor of ethiopia"
392,393.jpg,portrait of christopher columbus
393,394.jpg,adoration of the shepherds
394,395.jpg,the four seasons paying homage to chronos
395,396.jpg,the immaculate conception
396,397.jpg,rest on the flight to egypt
397,398.jpg,exterior view
398,399.jpg,exterior view
399,400.jpg,apollo
400,401.jpg,the defence of zaragoza
401,402.jpg,"isabel de braganza, queen of spain"
402,403.jpg,certosa: façade
403,404.jpg,certosa: façade
404,405.jpg,façade of the church (detail)
405,406.jpg,exterior
406,407.jpg,christoph fugger
407,408.jpg,goldsmith jörg zürer of augsburg
408,409.jpg,portrait of the cosmographer sebastien münster
409,410.jpg,portrait of matthäus schwarz
410,411.jpg,portrait of felicitas seiler
411,412.jpg,portrait of a young man
412,413.jpg,portrait of a young woman
413,414.jpg,frontispiece
414,415.jpg,venus
415,416.jpg,the wedded
416,417.jpg,rudolf von arthaber with his children
417,418.jpg,emperor franz i of austria in his coronation robes
418,419.jpg,likeness of a girl
419,420.jpg,portrait of a young girl
420,421.jpg,maiden with a straw hat
421,422.jpg,girl in yellow hat
422,423.jpg,countess nákó
423,424.jpg,portrait of princess marie franziska von liechtenstein aged two
424,425.jpg,self-portrait
425,426.jpg,portrait of count istván széchenyi
426,427.jpg,portrait of a gentleman with a sword
427,428.jpg,portrait of a gentlemen in blue jacket
428,429.jpg,joseph in the pharaoh's palace
429,430.jpg,juno receiving the head of argos
430,431.jpg,portrait of a lady
431,432.jpg,jael and sisera
432,433.jpg,venus and adonis
433,434.jpg,venus and adonis (detail)
434,435.jpg,venus and adonis
435,436.jpg,venus and adonis
436,437.jpg,venus and adonis (detail)
437,438.jpg,venus and adonis
438,439.jpg,bacchus and ariadne
439,440.jpg,virgin and child
440,441.jpg,flora and zephyr
441,442.jpg,papermaking (from the book of trades)
442,443.jpg,casting type in hot metal (from the book of trades)
443,444.jpg,typesetting and inking (from the book of trades)
444,445.jpg,cutting a woodblock (from the book of trades)
445,446.jpg,bookbinding (from the book of trades)
446,447.jpg,falcon
447,448.jpg,owl
448,449.jpg,fountain of juno (lower figures)
449,450.jpg,fountain of juno (upper figures)
450,451.jpg,parnassus
451,452.jpg,leda with the swan
452,453.jpg,mars gravidus
453,454.jpg,fountain of neptune
454,455.jpg,fountain of neptune
455,456.jpg,fountain of neptune
456,457.jpg,the fountain of neptune
457,458.jpg,fountain of neptune
458,459.jpg,the fountain of neptune (detail)
459,460.jpg,the fountain of neptune (detail)
460,461.jpg,goddess opi
461,462.jpg,ops
462,463.jpg,tomb of giovanni buoncampagni
463,464.jpg,venus
464,465.jpg,victory
465,466.jpg,allegory of winter
466,467.jpg,palazzo ducale: cortile degli svizzeri
467,468.jpg,palazzo ducale: cortile degli svizzeri (detail)
468,469.jpg,palazzo pitti: façade
469,470.jpg,palazzo pitti: courtyard
470,471.jpg,palazzo pitti: courtyard
471,472.jpg,palazzo pitti: courtyard (detail)
472,473.jpg,ponte santa trinità
473,474.jpg,architectural and anatomical sketches
474,475.jpg,dispute in a brothel
475,476.jpg,sunlight in the blue room. helga ancher knitting in her grandmother's room
476,477.jpg,"the artist's mother, anna hedvig brøndum"
477,478.jpg,portrait of gioacchino rossini
478,479.jpg,"the capture of fort saint louis, martinique"
479,480.jpg,an english 3rd-rate ship of the line in three positions
480,481.jpg,self-portrait
481,482.jpg,shipping in a calm sea off the coast
482,483.jpg,shipping on the thames off deptford
483,484.jpg,"bearing of the cross, crucifixion, descent into hell (north wall)"
484,485.jpg,crucifixion (detail)
485,486.jpg,crucifixion (detail)
486,487.jpg,crucifixion (detail)
487,488.jpg,bearing of the cross
488,489.jpg,bearing of the cross (detail)
489,490.jpg,descent into hell
490,491.jpg,descent into hell (detail)
491,492.jpg,the church as the path to salvation (east wall)
492,493.jpg,the church as the path to salvation (east wall)
493,494.jpg,the church as the path to salvation (east wall)
494,495.jpg,the church as the path to salvation (east wall)
495,496.jpg,the church as the path to salvation (detail)
496,497.jpg,the church as the path to salvation (detail)
497,498.jpg,the church as the path to salvation (detail)
498,499.jpg,the church as the path to salvation (detail)
499,500.jpg,the church as the path to salvation (detail)
500,501.jpg,the church as the path to salvation (detail)
501,502.jpg,the church as the path to salvation (detail)
502,503.jpg,the church as the path to salvation (detail)
503,504.jpg,the church as the path to salvation (detail)
504,505.jpg,the church as the path to salvation (detail)
505,506.jpg,the church as the path to salvation (detail)
506,507.jpg,the church as the path to salvation (detail)
507,508.jpg,the triumph of st thomas aquinas (west wall)
508,509.jpg,the triumph of st thomas aquinas (detail)
509,510.jpg,the triumph of st thomas aquinas (detail)
510,511.jpg,the triumph of st thomas aquinas (detail)
511,512.jpg,the triumph of st thomas aquinas (detail)
512,513.jpg,the triumph of st thomas aquinas (detail)
513,514.jpg,"scenes from the life of st peter martyr (south wall, detail)"
514,515.jpg,vault frescoes
515,516.jpg,resurrection (north vault cell)
516,517.jpg,salvation of peter (navicella) (east vault cell)
517,518.jpg,miracle of pentecost (west vault cell)
518,519.jpg,ascension of christ (south vault cell)
519,520.jpg,the virgin and child with ten saints
520,521.jpg,the virgin and child with ten saints (detail)
521,522.jpg,the virgin and child with ten saints (detail)
522,523.jpg,the virgin and child with ten saints (detail)
523,524.jpg,the virgin and child with ten saints (detail)
524,525.jpg,the virgin and child with ten saints (detail)
525,526.jpg,crucifixion
526,527.jpg,madonna and child with saints
527,528.jpg,madonna and child with saints (detail)
528,529.jpg,scenes from the life of st rainerus (detail)
529,530.jpg,polyptych
530,531.jpg,polyptych
531,532.jpg,polyptych
532,533.jpg,crucifixion and saints
533,534.jpg,st john the baptist
534,535.jpg,god the father
535,536.jpg,st john the evangelist
536,537.jpg,st mark
537,538.jpg,dormition of the virgin
538,539.jpg,dormition of the virgin
539,540.jpg,dormition of the virgin
540,541.jpg,deposition
541,542.jpg,madonna and child with saints
542,543.jpg,last supper and stories of christ's passion
543,544.jpg,stories of christ's passion (detail)
544,545.jpg,last supper and stories of christ's passion
545,546.jpg,stories of christ's passion
546,547.jpg,stories of christ's passion (synopia)
547,548.jpg,resurrection (detail)
548,549.jpg,last supper
549,550.jpg,last supper (detail)
550,551.jpg,last supper (detail)
551,552.jpg,last supper (detail)
552,553.jpg,last supper (detail)
553,554.jpg,last supper (detail)
554,555.jpg,last supper (detail)
555,556.jpg,last supper (detail)
556,557.jpg,last supper (architectural detail)
557,558.jpg,christ in the sepulchre with two angels
558,559.jpg,christ in the sepulchre with two angels (synopia)
559,560.jpg,famous persons cycle (reconstruction)
560,561.jpg,view of the former loggia
561,562.jpg,famous persons: eve
562,563.jpg,madonna and child
563,564.jpg,famous persons: pippo spano
564,565.jpg,famous persons: niccolò acciaiuoli
565,566.jpg,famous persons: farinata degli uberti
566,567.jpg,famous persons: queen esther
567,568.jpg,famous persons: the cumean sibyl
568,569.jpg,famous persons: queen tomyris
569,570.jpg,famous persons: dante allighieri
570,571.jpg,famous persons: giovanni boccaccio
571,572.jpg,famous persons: francesco petrarca
572,573.jpg,our lady of the assumption with sts miniato and julian
573,574.jpg,crucifixion
574,575.jpg,the youthful david
575,576.jpg,"the holy trinity, st jerome and two saints"
576,577.jpg,st julian and the redeemer
577,578.jpg,interior view
578,579.jpg,crucifixion
579,580.jpg,crucifixion (detail)
580,581.jpg,portrait of a gentleman
581,582.jpg,monument to niccolò da tolentino
582,583.jpg,monument to niccolò da tolentino
583,584.jpg,the annunciation
584,585.jpg,punishment of the gamblers
585,586.jpg,journey of the magi
586,587.jpg,miraculous cure by relics of filippo benizzi
587,588.jpg,view of the atrium
588,589.jpg,birth of the virgin
589,590.jpg,baptism of the people
590,591.jpg,study for the baptism of the people
591,592.jpg,the sermon of john the baptist
592,593.jpg,charity
593,594.jpg,madonna of the harpies
594,595.jpg,madonna of the harpies
595,596.jpg,madonna of the harpies (detail)
596,597.jpg,portrait of the artist's wife
597,598.jpg,"madonna and child with st elisabeth, the infant st john, and two angels"
598,599.jpg,madonna and child with the young st john
599,600.jpg,"madonna and child with sts catherine, elizabeth and john the baptist"
600,601.jpg,portrait of a lady with a book
601,602.jpg,portrait of a woman with a basket of spindles
602,603.jpg,portrait of baccio bandinelli
603,604.jpg,christ the redeemer
604,605.jpg,tobias and the angel with st leonard and donor
605,606.jpg,portrait of a young man
606,607.jpg,triumph of caesar
607,608.jpg,triumph of caesar
608,609.jpg,triumph of caesar (detail)
609,610.jpg,triumph of caesar (detail)
610,611.jpg,head of a young man
611,612.jpg,holy family
612,613.jpg,stories of joseph
613,614.jpg,stories of joseph
614,615.jpg,lamentation of christ
615,616.jpg,the last supper
616,617.jpg,the last supper
617,618.jpg,the last supper (detail)
618,619.jpg,the last supper (detail)
619,620.jpg,the last supper (detail)
620,621.jpg,last supper (study)
621,622.jpg,pietà with saints
622,623.jpg,pietà with saints (detail)
623,624.jpg,the sacrifice of abraham
624,625.jpg,disputation on the trinity
625,626.jpg,head of a man in profile facing left
626,627.jpg,madonna della scala
627,628.jpg,assumption of the virgin
628,629.jpg,assumption of the virgin (detail)
629,630.jpg,assumption of the virgin
630,631.jpg,st john the baptist
631,632.jpg,st john the baptist
632,633.jpg,holy family (borgherini)
633,634.jpg,holy family (barberini)
634,635.jpg,virgin and child in glory with six saints
635,636.jpg,virgin and child in glory with six saints (detail)
636,637.jpg,st james
637,638.jpg,madonna del sacco (madonna with the sack)
638,639.jpg,self-portrait
639,640.jpg,annunciation
640,641.jpg,annunciation (detail)
641,642.jpg,annunciation (detail)
642,643.jpg,sts michael and john gualbert
643,644.jpg,sts john the baptist and bernardo degli uberti
644,645.jpg,assumption of the virgin (poppi altarpiece)
645,646.jpg,coronation of the virgin
646,647.jpg,coronation of the virgin
647,648.jpg,christ on the road to calvary
648,649.jpg,st paul
649,650.jpg,virgin and child
650,651.jpg,ascension of christ
651,652.jpg,ascension of christ (detail)
652,653.jpg,st francis of assisi
653,654.jpg,st francis of assisi (detail)
654,655.jpg,st james the greater
655,656.jpg,st james the greater (detail)
656,657.jpg,st peter
657,658.jpg,the triumph of caesar (frontispiece)
658,659.jpg,the triumph of caesar (section 1)
659,660.jpg,the triumph of caesar (section 3)
660,661.jpg,the triumph of caesar (section 4)
661,662.jpg,the triumph of caesar (section 5)
662,663.jpg,the triumph of caesar (section 6)
663,664.jpg,the triumph of caesar (section 7)
664,665.jpg,the triumph of caesar (section 8)
665,666.jpg,the triumph of caesar (section 9)
666,667.jpg,edge of the forest
667,668.jpg,winter at barbizon
668,669.jpg,dish
669,670.jpg,dish
670,671.jpg,arcadian landscape
671,672.jpg,arcadian landscape
672,673.jpg,"château, charleval"
673,674.jpg,"entrance to the château, écouen"
674,675.jpg,design for a town house
675,676.jpg,"château, verneuil"
676,677.jpg,an extensive landscape
677,678.jpg,an extensive landscape
678,679.jpg,italianate coastal landscape
679,680.jpg,tiber bridge in rome
680,681.jpg,view of the roman campagna
681,682.jpg,harbour scene
682,683.jpg,view of tivoli and the roman campagna
683,684.jpg,jerónimo de cevallos
684,685.jpg,view of the ballroom
685,686.jpg,the sacrifice of iphigenia
686,687.jpg,the abduction of helen
687,688.jpg,the abduction of helen (detail)
688,689.jpg,view of the ceiling in the ballroom
689,690.jpg,ceiling fresco in the ballroom (detail)
690,691.jpg,coriolanus accepting the command of the roman troops
691,692.jpg,curtius rufus on his horse
692,693.jpg,scipio combating the carthaginians
693,694.jpg,mucius scaevola before porsenna
694,695.jpg,the immaculate conception
695,696.jpg,lesson in astronomy
696,697.jpg,st roch in glory
697,698.jpg,faith
698,699.jpg,charity
699,700.jpg,san domenico altarpiece
700,701.jpg,san domenico altarpiece (detail)
701,702.jpg,san domenico altarpiece (detail)
702,703.jpg,san domenico altarpiece (detail)
703,704.jpg,san domenico altarpiece (detail)
704,705.jpg,predella of the san domenico altarpiece
705,706.jpg,predella of the san domenico altarpiece (detail)
706,707.jpg,st nicholas of bari
707,708.jpg,st michael
708,709.jpg,st mark
709,710.jpg,st matthew
710,711.jpg,a bishop saint
711,712.jpg,the annunciation
712,713.jpg,the annunciation
713,714.jpg,the annunciation (detail)
714,715.jpg,the annunciation (detail)
715,716.jpg,the annunciation (detail)
716,717.jpg,the annunciation (detail)
717,718.jpg,linaioli tabernacle (shutters closed)
718,719.jpg,linaioli tabernacle (shutters open)
719,720.jpg,linaioli tabernacle: st john the baptist
720,721.jpg,linaioli tabernacle: st john the evangelist
721,722.jpg,linaioli tabernacle (detail)
722,723.jpg,linaioli tabernacle (detail)
723,724.jpg,st peter preaching in the presence of st mark
724,725.jpg,adoration of the magi
725,726.jpg,the martyrdom of st mark
726,727.jpg,last judgment
727,728.jpg,last judgment (detail)
728,729.jpg,last judgment (detail)
729,730.jpg,last judgment (detail)
730,731.jpg,last judgment (detail)
731,732.jpg,last judgment (detail)
732,733.jpg,annunciation
733,734.jpg,annunciation
734,735.jpg,annunciation (detail)
735,736.jpg,annunciation (detail)
736,737.jpg,annunciation (detail)
737,738.jpg,birth of the virgin
738,739.jpg,marriage of the virgin
739,740.jpg,visitation
740,741.jpg,adoration of the magi
741,742.jpg,the presentation of christ in the temple
742,743.jpg,death of the virgin
743,744.jpg,the virgin consigns the habit to st dominic
744,745.jpg,cortona polyptych
745,746.jpg,cortona polyptych (central panel)
746,747.jpg,cortona polyptych (detail)
747,748.jpg,cortona polyptych (detail)
748,749.jpg,cortona polyptych (detail)
749,750.jpg,cortona polyptych (detail)
750,751.jpg,cortona polyptych (detail)
751,752.jpg,cortona polyptych (detail)
752,753.jpg,virgin with child and four saints (detail of the predella)
753,754.jpg,virgin with child and four saints (detail of the predella)
754,755.jpg,virgin with child and four saints (detail of the predella)
755,756.jpg,perugia altarpiece (in modern frame)
756,757.jpg,perugia altarpiece
757,758.jpg,perugia altarpiece (central panel)
758,759.jpg,perugia altarpiece (left panel)
